time,mV

2026 06 24 15:31:47.617218,346
,345
,376
,387
,353
,375
,406
,353
,367
,392
,421
,324
,349
,375
2026 06 24 15:31:47.682568,392
,331
,364
,404
,387
,369
,360
,397
,338
,343
,355
,395
,334
,353
2026 06 24 15:31:47.744716,391
,367
,337
,353
,438
,365
,365
,382
,408
,338
,353
,393
,392
,338
2026 06 24 15:31:47.810074,365
,389
,363
,358
,377
,418
,331
,358
,385
,379
,325
,362
,415
,379
2026 06 24 15:31:47.871742,352
,380
,404
,336
,379
,396
,412
,346
,361
,393
,372
,341
,361
,416
2026 06 24 15:31:47.932434,344
,348
,349
,390
,333
,352
,384
,388
,338
,352
,415
,361
,347
,364
2026 06 24 15:31:47.998490,412
,342
,364
,382
,388
,331
,358
,397
,363
,330
,372
,411
,345
,349
2026 06 24 15:31:48.060166,369
,383
,331
,363
,400
,370
,326
,356
,415
,333
,359
,376
,404
,323
2026 06 24 15:31:48.125848,356
,385
,379
,328
,361
,402
,349
,342
,366
,403
,347
,364
,381
,396
2026 06 24 15:31:48.186130,334
,362
,396
,354
,340
,366
,417
,343
,345
,357
,402
,326
,355
,405
2026 06 24 15:31:48.248224,375
,339
,359
,412
,354
,356
,377
,400
,326
,367
,394
,388
,325
,363
2026 06 24 15:31:48.313687,415
,359
,349
,360
,399
,335
,346
,377
,384
,334
,363
,400
,365
,339
2026 06 24 15:31:48.374922,370
,419
,336
,359
,379
,391
,332
,367
,393
,364
,319
,365
,419
,344
2026 06 24 15:31:48.440100,345
,374
,401
,327
,356
,390
,386
,335
,368
,414
,350
,348
,364
,411
2026 06 24 15:31:48.501897,330
,357
,390
,383
,329
,353
,402
,356
,346
,372
,412
,337
,352
,374
2026 06 24 15:31:48.563607,384
,338
,353
,393
,373
,327
,361
,409
,344
,350
,364
,393
,315
,344
2026 06 24 15:31:48.629435,389
,373
,329
,350
,408
,362
,346
,367
,403
,325
,340
,380
,385
,314
2026 06 24 15:31:48.690951,362
,400
,353
,329
,352
,401
,331
,339
,355
,377
,316
,348
,389
,362
2026 06 24 15:31:48.755800,339
,357
,405
,331
,340
,368
,398
,320
,345
,394
,370
,316
,362
,400
2026 06 24 15:31:48.817812,344
,346
,358
,408
,329
,347
,383
,377
,324
,351
,405
,355
,338
,353
2026 06 24 15:31:48.878454,398
,324
,357
,384
,382
,328
,367
,402
,365
,323
,352
,406
,330
,332
2026 06 24 15:31:48.943838,355
,370
,316
,344
,371
,352
,309
,345
,379
,333
,328
,343
,382
,298
2026 06 24 15:31:49.006420,332
,378
,370
,316
,343
,396
,348
,329
,357
,404
,325
,349
,382
,395
2026 06 24 15:31:49.071769,320
,344
,400
,368
,335
,359
,409
,337
,344
,365
,400
,333
,356
,393
2026 06 24 15:31:49.132240,375
,334
,365
,417
,349
,343
,354
,396
,327
,348
,382
,382
,317
,340
2026 06 24 15:31:49.194106,393
,358
,344
,369
,412
,328
,351
,383
,388
,325
,355
,392
,348
,313
2026 06 24 15:31:49.259763,348
,407
,340
,348
,373
,396
,324
,346
,393
,369
,328
,352
,406
,339
2026 06 24 15:31:49.321571,326
,350
,395
,320
,355
,369
,369
,316
,354
,408
,351
,314
,352
,403
2026 06 24 15:31:49.386723,315
,336
,362
,389
,309
,343
,387
,359
,323
,351
,395
,335
,338
,359
2026 06 24 15:31:49.448383,381
,301
,330
,371
,361
,312
,347
,401
,337
,332
,358
,377
,291
,363
2026 06 24 15:31:49.509472,382
,390
,323
,341
,392
,346
,321
,352
,392
,318
,340
,365
,383
,315
2026 06 24 15:31:49.575304,344
,389
,351
,327
,355
,388
,327
,334
,352
,383
,328
,348
,382
,357
2026 06 24 15:31:49.636114,328
,363
,403
,350
,331
,358
,396
,316
,340
,364
,359
,303
,341
,392
2026 06 24 15:31:49.698378,337
,312
,343
,380
,316
,335
,365
,374
,319
,346
,380
,347
,312
,342
2026 06 24 15:31:49.763490,393
,320
,332
,351
,382
,304
,326
,355
,346
,312
,344
,396
,340
,328
2026 06 24 15:31:49.824781,345
,402
,327
