time,mV

2026 06 19 17:17:56.897115,351
,346
,337
,356
,334
,356
,357
,369
,363
,347
,324
,358
,362
,351
2026 06 19 17:17:56.960140,344
,367
,349
,329
,349
,367
,350
,340
,356
,359
,340
,337
,350
,359
2026 06 19 17:17:57.021541,348
,351
,357
,353
,359
,367
,361
,352
,351
,364
,359
,355
,361
,355
2026 06 19 17:17:57.084027,349
,355
,352
,371
,354
,344
,359
,363
,348
,352
,374
,364
,346
,351
2026 06 19 17:17:57.149206,339
,342
,350
,358
,360
,341
,343
,358
,355
,343
,349
,330
,344
,348
2026 06 19 17:17:57.210365,355
,348
,333
,330
,355
,343
,328
,341
,338
,331
,334
,344
,359
,342
2026 06 19 17:17:57.294287,334
,351
,344
,338
,352
,359
,357
,346
,352
,349
,344
,322
,354
,368
2026 06 19 17:17:57.337411,358
,348
,358
,352
,340
,357
,350
,342
,339
,351
,345
,341
,336
,346
2026 06 19 17:17:57.399459,347
,346
,352
,348
,341
,331
,336
,348
,342
,335
,352
,354
,345
,353
2026 06 19 17:17:57.463718,361
,355
,343
,354
,359
,350
,344
,356
,353
,350
,352
,364
,352
,309
2026 06 19 17:17:57.525722,345
,348
,354
,353
,354
,347
,353
,346
,342
,327
,347
,358
,371
,358
2026 06 19 17:17:57.591560,349
,371
,359
,331
,376
,383
,373
,349
,372
,357
,363
,350
,360
,371
2026 06 19 17:17:57.652704,364
,354
,372
,367
,349
,333
,359
,359
,343
,352
,350
,350
,343
,361
2026 06 19 17:17:57.713848,362
,348
,345
,353
,351
,349
,357
,362
,354
,349
,365
,363
,359
,358
2026 06 19 17:17:57.780082,375
,369
,355
,359
,367
,358
,348
,365
,365
,358
,350
,365
,359
,342
2026 06 19 17:17:57.840974,355
,372
,364
,345
,354
,361
,343
,321
,365
,380
,361
,361
,368
,362
2026 06 19 17:17:57.906484,348
,359
,362
,354
,345
,361
,362
,353
,347
,342
,364
,344
,338
,371
2026 06 19 17:17:57.968211,366
,353
,363
,358
,364
,348
,375
,377
,354
,351
,363
,360
,348
,351
2026 06 19 17:17:58.029756,359
,352
,344
,351
,362
,344
,341
,362
,345
,347
,355
,362
,352
,348
2026 06 19 17:17:58.095809,361
,359
,346
,345
,356
,332
,323
,347
,369
,372
,348
,370
,357
,353
2026 06 19 17:17:58.156249,348
,358
,350
,344
,346
,342
,349
,357
,359
,352
,347
,340
,355
,362
2026 06 19 17:17:58.222559,340
,336
,370
,332
,345
,363
,351
,358
,344
,360
,353
,330
,349
,357
2026 06 19 17:17:58.283310,354
,337
,350
,360
,343
,347
,355
,363
,357
,347
,355
,358
,351
,354
2026 06 19 17:17:58.344571,357
,356
,344
,350
,361
,353
,347
,347
,352
,332
,344
,360
,351
,342
2026 06 19 17:17:58.410740,351
,353
,344
,334
,357
,348
,335
,348
,345
,336
,346
,341
,362
,348
2026 06 19 17:17:58.471224,334
,356
